,N,obj_robust_mean,obj_robust_max,obj_robust_min,obj_nonrobust_mean,obj_nonrobust_max,obj_nonrobust_min,robust_obj,nonrobust_obj
0,10,-265.64672268790963,-237.59086441717474,-296.19139856689077,-265.64672237584733,-237.59086410511244,-296.1913982548284,-345.07030389579774,-260.65
1,20,-261.1658805382321,-238.99810911360018,-283.43426609676146,-261.16587636842127,-238.9981049437895,-283.4342619269508,-316.93657169004695,-260.65
2,30,-260.09155786454556,-241.52149532490066,-281.1117826443835,-260.09155741928834,-241.52149487964348,-281.1117821991264,-305.3529411888589,-260.65
3,40,-259.2476189500788,-244.0218351366203,-276.09501569262477,-259.24761863563424,-244.02183482217583,-276.0950153781802,-298.7878807012066,-260.65
4,50,-258.6275489285935,-241.3773226768759,-276.05506726381975,-258.6275488113597,-241.37732255964232,-276.0550671465863,-294.44705193415746,-260.65
5,60,-258.65551137467224,-245.01262819625407,-274.1030208531097,-258.6555105929871,-245.0126274145692,-274.1030200714247,-291.31022724286544,-260.65
6,70,-258.18590022464144,-245.72559978188025,-272.9265640174472,-258.18589945951607,-245.72559901675444,-272.9265632523214,-288.909092167202,-260.65
7,80,-257.67396823468584,-247.03601199707643,-269.019657964591,-257.6739638521027,-247.0360076144935,-269.019653582008,-286.99559706917717,-260.65
8,90,-257.7824338739856,-248.67086167877025,-268.32345241085505,-257.7824314428567,-248.67085924764137,-268.32344997972615,-285.42461130924266,-260.65
9,100,-257.3718203483603,-247.83172913273881,-267.9154677630928,-257.3718195378054,-247.83172832218418,-267.91546695253817,-284.1050067852492,-260.65
10,110,-257.3209526898166,-247.8327353572467,-270.40824460680744,-257.3209519371023,-247.83273460453228,-270.40824385409303,-282.97626516812454,-260.65
11,120,-257.24985414857156,-247.52078215621017,-268.55832776522,-257.24985394900006,-247.52078195663876,-268.5583275656486,-281.9964755937923,-260.65
12,130,-256.9923427220025,-248.28498267581526,-269.9710680959581,-256.99234214900656,-248.2849821028194,-269.9710675229623,-281.1354963675353,-260.65
13,140,-256.867555423737,-246.83079940048975,-265.83927968547084,-256.8675552110957,-246.8307991878486,-265.8392794728298,-280.37118056954574,-260.65
14,150,-257.0596614280482,-248.08046120876554,-267.1051816483092,-257.05965860424027,-248.08045838495792,-267.10517882450165,-279.686699552964,-260.65
15,160,-256.6991951738923,-247.96951132773967,-265.0587493031818,-256.699188930144,-247.9695050839908,-265.0587430594329,-279.06905849534877,-260.65
16,170,-256.8355216158286,-247.00471898275742,-264.2333694446529,-256.83552045060605,-247.00471781753527,-264.2333682794307,-278.5079777031712,-260.65
17,180,-256.8293256465946,-249.66213936749492,-264.6304572674378,-256.829325204221,-249.66213892512118,-264.630456825064,-277.99537187289883,-260.65
18,190,-256.56227604211216,-248.86235656374427,-267.07604737252564,-256.56227573486836,-248.8623562565001,-267.07604706528156,-277.52466291103485,-260.65
19,200,-256.6385901776851,-249.85499653592726,-263.1132313168799,-256.6385899592586,-249.85499631750062,-263.1132310984533,-277.0904030370913,-260.65
20,210,-256.6405591479833,-248.36083000277276,-264.64466099095534,-256.64055894206723,-248.36082979685648,-264.6446607850391,-276.6881387017205,-260.65
