,N,obj_robust_mean,obj_robust_max,obj_robust_min,obj_nonrobust_mean,obj_nonrobust_max,obj_nonrobust_min,robust_obj,nonrobust_obj
0,10,64.43796978600268,75.02220443366724,55.35048894339871,133.95526883902136,162.78059418386493,104.33470677826122,26.07682435635529,136.45100000000002
1,20,65.64036487541493,72.55663641042389,56.921538895562264,138.14639928618678,164.0747807148786,112.7010471401259,26.076823460388574,136.45100000000002
2,30,106.970737401039,115.99654110912365,98.80249362592107,138.897329212676,160.4437181407062,119.57154647518553,37.41714078777728,136.45100000000002
3,40,117.48149048512809,125.31478571079342,106.99009517463946,139.33562955345838,156.1675604441386,117.60613311193754,51.56382624508571,136.45100000000002
4,50,124.90820109768084,132.87398163516167,116.21474557612073,139.42917731369144,157.24070405744945,122.0950264382067,63.39917304066615,136.45100000000002
5,60,125.35599586607111,132.28271601347626,117.62624250729822,139.8667897403614,155.53717276011122,124.96552707227744,71.57971513791914,136.45100000000002
6,70,131.2088784768889,141.00410562300837,122.00330581174359,140.186113770629,156.5621478115589,123.92333099314646,77.93182525918306,136.45100000000002
7,80,134.6847119362676,141.92169729780915,127.4167675148255,140.33759141998186,151.98293609768615,125.8381469163134,82.93770481660468,136.45100000000002
8,90,136.2446658458167,144.00317704293303,127.8763486273238,140.40280029008548,151.85933589274435,128.50490231445883,87.03056130064607,136.45100000000002
9,100,137.3527312249169,145.18802292076998,126.08316066914092,140.42386480937566,154.14220155919782,127.05486471195405,90.38094706376324,136.45100000000002
10,110,139.88472218078402,151.45222805288768,132.00495303932547,140.51296097069303,155.0087264611153,127.38892362070132,93.55765878072825,136.45100000000002
11,120,139.78055407802395,148.3275287389285,130.29269321581145,140.3852413102857,152.99128966056537,128.4656863051527,96.25481992442022,136.45100000000002
12,130,139.95310851126985,148.10903892829097,131.6721799256241,140.529988797782,149.37433979044775,130.27223247617482,98.53557835080404,136.45100000000002
13,140,139.9640929648095,147.52869770854778,131.98269618158082,140.5864025209816,150.4387788415505,130.70365168483485,100.49265250473601,136.45100000000002
14,150,140.01088127561314,146.6658082073672,133.01660555784414,140.58409097511475,149.78223347007074,130.52504920812805,102.19294402196635,136.45100000000002
15,160,140.0728732418627,147.55321525374632,133.46222338875953,140.82084767144704,148.13578877398555,132.6126447884251,103.68588165922591,136.45100000000002
16,170,140.1634316236847,146.48984317005062,133.67207208537474,140.82064394442642,149.99197476729856,131.10759307429447,105.00882571971576,136.45100000000002
17,180,140.20148286077944,147.65959481644512,131.48434885199396,140.85962220311328,152.636861045226,132.47532874743803,106.19062777458964,136.45100000000002
18,190,140.20501014641263,146.11404273332852,133.05571886895677,140.78835827387954,150.44773030092614,132.96639380989097,107.25377748861112,136.45100000000002
19,200,140.37664125574273,146.135263996697,134.0974708601825,141.0180280091801,149.4034436477206,133.8707337094511,108.2162176161151,136.45100000000002
20,210,140.2826478286341,146.87128141627187,132.4613087713688,140.98160638764313,150.8296245003865,131.9227295598883,109.09234198343592,136.45100000000002
21,220,140.18254469663725,145.78096500819953,135.2053956541002,140.85416197196486,148.00187762568902,134.30816440836256,109.89394819731261,136.45100000000002
22,230,140.1900127727051,145.53901657904174,133.76205773011648,140.77846714800845,148.42952374992637,132.8595554235958,110.63066564750929,136.45100000000002
23,240,140.22684969289998,144.88830973206984,134.44074332174512,140.8360379387699,147.15766250220503,131.77450769524958,111.31053112070057,136.45100000000002
24,250,140.3758666495814,145.41881514376408,132.93712662678521,140.9996048971775,147.38564825180356,130.7036399770065,111.94026667120187,136.45100000000002
25,260,140.36929907880193,145.42064700244813,134.00366886933395,140.99248002673332,148.90090141880285,134.04610083693467,112.52557088602373,136.45100000000002
26,270,140.4788748356674,146.9434635103317,135.2432090454201,141.0252344172331,149.0545915963686,134.20439525245226,113.08432313495071,136.45100000000002
27,280,140.49272763476705,145.4325776907507,135.73669655283726,141.05216377836325,147.46184442295498,134.5588318519648,113.61490231048384,136.45100000000002
28,290,140.46990287861746,145.20164180465142,135.91774308538794,140.94866659235115,148.27750807800794,134.91647472772613,114.11236187083479,136.45100000000002
29,300,140.52446721950292,146.89851883145656,135.6323299392003,141.01730753387187,148.32672138518683,134.04032740656717,114.57984383670973,136.45100000000002
30,310,140.64029861389875,145.98020895392548,135.24263282491,141.13265173772302,148.1112418936193,134.29128352467353,115.02037517937973,136.45100000000002
31,320,140.62330469769847,145.39786777541974,135.83707012733686,141.22747345630486,147.6586283576458,135.2434035974478,115.43618226474956,136.45100000000002
32,330,140.58441051780576,147.1802552674407,136.12923142480807,141.14086711510734,148.31580425548188,134.38674136694112,115.82951461088203,136.45100000000002
33,340,140.61768251631767,144.70954816875002,135.5892205037951,141.22305288524123,147.31873112124924,134.16765250906286,116.2022488822794,136.45100000000002
34,350,140.63313010951146,145.34542346182454,135.6044313235403,141.18452443459566,147.23283172302393,133.2675296449149,116.55609967105522,136.45100000000002
35,360,140.5338802595718,145.70189273360978,135.27090815874135,141.01220640237582,146.96189233502048,134.19152026329797,116.89256533455574,136.45100000000002
36,370,140.6544925551531,145.17462741432263,136.70961092520253,141.20336412474,147.8394324261746,135.79656085639846,117.21299019198578,136.45100000000002
37,380,140.6065203505974,145.03706159078968,136.05705313580577,141.1462522218076,147.24435649965096,135.25869043739,117.51858038414221,136.45100000000002
38,390,140.71977240896803,145.17366306368683,136.24934958688098,141.32854731429669,147.5883161396006,135.5086356064327,117.81042050172142,136.45100000000002
39,400,140.63919280119376,145.40402140434855,136.1671087672628,141.15774287893888,147.09191084155862,135.9013098393598,118.08949240464224,136.45100000000002
40,410,140.66300793347344,144.46271050287737,135.84358771614382,141.25987647215902,146.7528265386236,134.55697485919634,118.3566735609292,136.45100000000002
41,420,140.58481487141697,145.43539057109774,136.4865227603866,141.0672600391871,146.87623350041702,135.3640324120433,118.61277012386466,136.45100000000002
42,430,140.70667966795583,144.4105452730081,136.0670956097062,141.27941608087156,146.3387798792274,135.14332746217633,118.858505646537,136.45100000000002
43,440,140.70387247802125,144.7508269776395,135.8563979836599,141.21899334506324,147.26600926878334,135.39352751148502,119.09456252229805,136.45100000000002
44,450,140.65455364075098,144.32354109298166,136.22391021842918,141.18465602278036,146.22395683901698,135.2458854325356,119.3215298272223,136.45100000000002
45,460,140.7103895507222,145.67965611617063,135.58075416229428,141.25133500522634,146.81425201209584,134.64488093266317,119.53996717855242,136.45100000000002
46,470,140.65381705616414,144.28432681235608,135.8714347419127,141.21999994450843,146.44718489177575,134.505283058703,119.75039796841926,136.45100000000002
47,480,140.73493589580744,144.82595391674167,135.98451885592416,141.27001226200753,146.45507975701267,135.44210423352416,119.95326143636537,136.45100000000002
