,N,obj_robust_mean,obj_robust_max,obj_robust_min,obj_nonrobust_mean,obj_nonrobust_max,obj_nonrobust_min,robust_obj,nonrobust_obj
0,10,107.31413970769789,121.24571934227544,93.15979614598825,134.35340122930916,163.26168753610773,100.63156450986844,44.950597474461105,136.45100000000002
1,20,131.28019992519336,145.0223507169229,118.85571224840982,138.0977426563948,164.408482949267,117.52798874244934,71.61786136452343,136.45100000000002
2,30,135.42464499376902,146.91390448198126,120.57299966137207,138.75900023518196,157.0757945862332,118.5711029171502,84.36083151681039,136.45100000000002
3,40,138.3349682517255,153.5957953820885,127.08962794522584,139.24958702287088,161.33472584968928,121.8394434401743,92.46563740382796,136.45100000000002
4,50,139.16541175271186,151.1492414397176,127.93260309983793,139.99657544833306,156.62476626043843,122.94009163654675,97.8705497087359,136.45100000000002
5,60,138.8186701002628,148.09469039460836,129.22669952587407,139.81878388058018,154.1311578268294,125.54924960664601,101.70799777870113,136.45100000000002
6,70,139.32472079183307,147.8144172204311,128.82622169112042,139.99553726784686,152.07962844489407,125.99707866383307,104.60403635575622,136.45100000000002
7,80,139.43600841789947,148.49039324976349,130.40770053026608,140.22260844418426,153.52805462500777,126.5250209682041,106.88512956693896,136.45100000000002
8,90,139.50367690622735,147.5330692189149,131.52584374476243,140.26624928287313,152.60310934305306,128.12554344154125,108.73962502551552,136.45100000000002
9,100,139.69335217293295,147.03318350277294,130.30250984151976,140.46473560803886,152.55348315412624,127.50313059684612,110.28437151064338,136.45100000000002
10,110,139.73758571839352,147.04239679324564,131.02548768403872,140.5779970710901,151.26160950898574,128.65491161743682,111.59611702261917,136.45100000000002
11,120,139.80615529596147,147.2411629275651,132.39543355558283,140.6986209256925,151.5893061143819,127.9135167801503,112.72752693357175,136.45100000000002
12,130,139.75811034473875,146.5329359605495,133.49947486187162,140.44815873782346,149.25289960251456,127.51762347604534,113.71611538185121,136.45100000000002
13,140,139.8523859398632,146.5062407353091,134.00379254808794,140.6003992926199,152.56593347843872,130.47485041279077,114.58931687279275,136.45100000000002
