,N,obj_robust_mean,obj_robust_max,obj_robust_min,obj_nonrobust_mean,obj_nonrobust_max,obj_nonrobust_min,robust_obj,nonrobust_obj
0,10,123.04138655959133,141.41986172690184,99.44521915411893,134.93061945571665,168.23288599209098,99.66689395652517,64.78638987295275,136.45100000000002
1,20,136.4507111193052,151.2717772590404,122.29870744305599,137.830449019345,160.9511664642613,115.6054090196167,83.75179321872012,136.45100000000002
2,30,138.12897594822624,151.86757083669335,125.04238579900708,139.11273434078083,161.511236173265,118.17461706928532,93.29232772399345,136.45100000000002
3,40,138.33267242956657,148.33851267553928,125.54088254144041,139.1616124815295,157.07608260279045,120.24214774212717,98.94966363380726,136.45100000000002
4,50,138.8079547877539,148.35618835957243,126.93460742911921,139.55093646350963,156.4082336120858,115.52603012903737,102.7896320376936,136.45100000000002
5,60,139.00045923657706,149.52702712507568,129.09508974600206,139.9451890556527,153.4208862885496,126.59172596963191,105.66285324944162,136.45100000000002
6,70,139.4272694261611,147.2754610221973,128.0401833902626,140.31272017302862,152.57104377060622,124.92643226617977,107.90996460508845,136.45100000000002
7,80,139.4814178448049,150.00661983183062,131.02380992507997,140.2134249877793,154.7445426900993,126.33212127244326,109.71761492179559,136.45100000000002
8,90,139.5572018121236,147.0293511271705,130.40181256091358,140.51681052962564,151.06530536805525,127.56696595290538,111.21259795183718,136.45100000000002
9,100,139.59540650728508,147.7616700906932,131.5082468934644,140.53213630379065,152.31415165587046,128.16747999239533,112.47565504443853,136.45100000000002
10,110,139.68087831723736,148.0133647478823,130.3892402603052,140.50327960725127,152.69791173259713,130.0322985404868,113.56117444059244,136.45100000000002
11,120,139.7523345005376,147.30538616197737,133.08338222675062,140.47314643776826,152.12331769786238,129.57428784317614,114.50712772473399,136.45100000000002
12,130,139.7209733149158,145.90766327900198,133.3983438652538,140.46261703956176,150.05743478233612,131.31649806829884,115.34114856825882,136.45100000000002
13,140,139.78389206176416,146.03468335463415,131.40917354268018,140.61761097399614,150.29962718546255,128.72400033559046,116.08361552082657,136.45100000000002
14,150,140.0567879213728,147.06825414653304,133.45103589657825,140.88699262167432,151.31733699238757,130.58742279897027,116.75016591735346,136.45100000000002
15,160,139.9026719187093,146.26296567144772,133.80142333781583,140.66570474253064,150.21649122996672,131.2292225030664,117.35289698823165,136.45100000000002
16,170,139.91223976325108,146.11002929897927,133.69031659807337,140.6526505088236,148.51411779101636,132.0620973952442,117.90141588300868,136.45100000000002
17,180,140.05118306819054,145.99342775422468,132.3581380735736,140.89319783199724,148.9435464101711,130.06477928797406,118.4033449764253,136.45100000000002
18,190,140.0140357619124,147.16463578485528,133.8836089693698,140.81122249696065,152.13911263804022,133.44960759175135,118.86496803099149,136.45100000000002
19,200,140.01054724758484,146.36286075011608,133.284293006286,140.8214518014097,148.8841161997967,132.350952392353,119.29139357477062,136.45100000000002
20,210,140.1652923257578,146.14127825805758,133.953509968182,140.89207923050455,150.37816271931263,132.84963224077964,119.68686913878851,136.45100000000002
21,220,140.11165964646966,145.2863304686967,134.8971284125708,140.95744381912047,148.90213953488083,131.9854886794162,120.05496025766563,136.45100000000002
22,230,140.08499702634518,145.20229121904197,134.34281929697795,140.79657486473323,147.84678948092164,132.7018980724764,120.39869807897274,136.45100000000002
23,240,140.13406237108734,144.93397280713276,133.84243635732344,141.01922193781758,148.41958158775887,132.5646236045484,120.7206501750017,136.45100000000002
24,250,140.0785811357821,146.29043088284493,135.16627709366838,140.8724478686439,148.82632585529473,132.42978703162856,121.02301721107597,136.45100000000002
25,260,140.21332767460018,144.44967019907983,135.08832068273705,141.0291961723098,147.931433076141,132.45625573657884,121.30773683485371,136.45100000000002
26,270,140.28167267918715,144.86079059796867,135.03901001010485,141.09739121241267,148.38342549841317,134.65548575599007,121.57642635726845,136.45100000000002
27,280,140.31117440113036,145.30817855845493,135.17976282472262,141.1541575583728,148.53838386918991,133.02010340643005,121.83054050220998,136.45100000000002
28,290,140.261082619215,144.8201737423198,135.95190370515365,141.1347354050719,147.7489424103523,133.5984259709677,122.07138535238914,136.45100000000002
29,300,140.25960639061674,145.9607048038245,135.5363580127025,141.00280912397398,148.50393640719062,134.41017252682977,122.30005393893275,136.45100000000002
30,310,140.33271571449285,144.85751137684179,135.92096862804988,141.23060940777734,147.12250228253265,134.729062882304,122.51754575760717,136.45100000000002
31,320,140.27389644363456,143.68582613010219,135.73560963665437,141.04378034129576,147.60442882325603,134.16128865731582,122.72472212870551,136.45100000000002
32,330,140.26230150759983,144.67316479978072,134.98529503902807,141.03102031443225,147.84510111479057,134.66399771614238,122.92239255974201,136.45100000000002
33,340,140.33562766769214,145.38635928897463,136.67546830287694,141.16747824882816,146.84377691197983,133.7802525301999,123.11126594214306,136.45100000000002
34,350,140.26524417875376,144.28325601110222,134.9868906982286,141.05980257419114,147.8585717810162,132.50345058635588,123.29195547491214,136.45100000000002
35,360,140.3662030877881,145.03886117407959,136.04477018948236,141.2119574605072,148.94011743825195,135.2501349660107,123.46505341339568,136.45100000000002
36,370,140.33652486650033,144.3335519511587,135.61436569137376,141.18609965917184,146.78363672981945,134.392052102428,123.63107721118634,136.45100000000002
37,380,140.34330452571032,143.9562294937592,136.04928413223044,141.13388454334307,147.56614586949075,134.72005919499168,123.7904846457422,136.45100000000002
38,390,140.3772630762731,144.769560289099,136.2158862114631,141.18141479204968,146.71802281256305,135.06016166310843,123.94370105424552,136.45100000000002
39,400,140.34248892896866,144.0169618600278,135.66465508641528,141.05538643922145,146.02502218650136,135.3523798198225,124.09112278626186,136.45100000000002
40,410,140.3354218566068,144.00902229486184,136.50580879358512,141.1544868413089,146.20095710847255,134.764023278169,124.2331429187103,136.45100000000002
41,420,140.37768762593373,144.75238434989333,136.02443023044106,141.1820789649629,148.25046146871432,135.6437551941264,124.37001893932083,136.45100000000002
42,430,140.41654414799714,144.3529911577973,136.6956631024986,141.23403768698523,147.11087721033846,135.39886036966132,124.50210152573489,136.45100000000002
43,440,140.42110943376403,144.50046200256628,136.58605804905847,141.25512853070555,146.75642192844663,134.91823851159907,124.62963010246771,136.45100000000002
44,450,140.41332171133425,143.8071569365518,136.79702502165293,141.2080553610068,147.1545321901528,136.07218173242455,124.75289637401505,136.45100000000002
45,460,140.38938540369006,143.92767279369406,136.66192136007018,141.1705531676275,146.42086680568548,134.85107253157884,124.87211088989686,136.45100000000002
46,470,140.3822009653682,143.65129929293056,136.98172984108044,141.20930201701287,145.96114889770837,135.15248312786036,124.98749251150858,136.45100000000002
47,480,140.41664502993856,143.7807573055789,136.92798114926364,141.25172336440346,146.8876555783142,136.02576474248463,125.09925155255947,136.45100000000002
48,490,140.46435917372276,144.2704656592556,136.77592764319817,141.23629362459909,146.59378286901813,136.4591478949667,125.20756780164137,136.45100000000002
49,500,140.44388077861558,143.93077251122216,136.11808992558696,141.2142555870641,146.28288491817182,135.01327529958704,125.31262944056726,136.45100000000002
50,510,140.4674319453873,144.04094165800478,136.64609164663324,141.3078588008769,146.50336632218932,136.42294931604573,125.4145446871036,136.45100000000002
51,520,140.3863091433004,144.73442070270073,136.72934850620703,141.22377396362862,147.383235847067,136.49844092828258,125.5135289392748,136.45100000000002
52,530,140.46594330400663,144.1192503010192,136.886251095585,141.26759633500927,146.92444778948922,136.22333788261358,125.60970081695758,136.45100000000002
53,540,140.46624659989806,144.10696247779964,137.18352603886834,141.24117758432413,146.1512808627533,136.12126460903045,125.70320320404618,136.45100000000002
54,550,140.50880223696657,143.7741815731568,136.48192679405705,141.3288714324635,147.53400445715124,135.69704286797915,125.79411964245415,136.45100000000002
55,560,140.48018403603064,143.8323060983218,136.70667819308613,141.2064413581231,145.75443636084992,136.51905876239428,125.88259940010303,136.45100000000002
56,570,140.47260437226754,143.9602255533165,137.22958517971438,141.27217861534285,145.92021709294698,135.9699929077873,125.96873583440885,136.45100000000002
57,580,140.46181095361112,144.15431799760412,136.1633224711622,141.29869944635672,146.56377761334198,134.81652573753615,126.05263009481332,136.45100000000002
58,590,140.52490321584855,143.48416030673673,137.32711455262253,141.32450172010573,147.5601961959971,136.6813971039702,126.13437016875406,136.45100000000002
59,600,140.4734114378899,143.66967705837675,136.92128276899786,141.2998387009913,145.58995038709298,135.84634038983356,126.2140701457954,136.45100000000002
60,610,140.46232596449767,143.34885765503688,137.1678245995758,141.2927734252429,146.15059400557138,136.9467615132886,126.29178040577342,136.45100000000002
61,620,140.50888680109736,144.5165037096165,137.03444831175537,141.27139180665245,146.19250594196794,135.39407245400872,126.36765808121835,136.45100000000002
62,630,140.52611183079608,143.66305042853116,137.29934168842038,141.3694766209668,145.45597946066857,136.39200121015224,126.44170595397296,136.45100000000002
63,640,140.50131574298032,143.54680248006173,137.7005567142737,141.3056548520856,146.01547733159583,136.64597220620516,126.51397594314975,136.45100000000002
64,650,140.50265461096487,143.87094259764055,137.0375335644064,141.32553911035674,145.63772781339333,136.44731537006246,126.58463340444085,136.45100000000002
65,660,140.50565378684985,144.09504825575513,136.92615938753582,141.32949551697791,145.60540145359624,135.94450426047857,126.65365263164537,136.45100000000002
66,670,140.43413396562693,143.5366791853151,136.45301813028215,141.22989283366766,145.72192348896772,135.9495706763404,126.72114934339618,136.45100000000002
67,680,140.62145728739603,143.52273555568814,137.7309286897641,141.3938676051364,146.7516930765842,137.15970162732566,126.78715739825898,136.45100000000002
68,690,140.558631098879,143.46794302125167,136.4650984495947,141.36247766886476,145.88448164177117,134.94368416000162,126.85170352177407,136.45100000000002
69,700,140.54361819049583,143.29049068687846,136.65933935268498,141.33728465417624,146.4093497495383,135.83987448203365,126.91490334683297,136.45100000000002
