,N,obj_robust_mean,obj_robust_max,obj_robust_min,obj_nonrobust_mean,obj_nonrobust_max,obj_nonrobust_min,robust_obj,nonrobust_obj
0,10,65.464427401108,78.67682839598966,53.676827488184244,137.51889999999986,175.1,100.39999999999998,26.076814651399967,132.848
1,20,70.99892476193716,80.22682479103216,62.62682472655984,146.48509999999982,172.34999999999997,125.09999999999997,26.076824221721512,141.58799999999997
2,30,122.47164004972197,134.17507043449922,105.88049188630622,151.39036666666635,171.33333333333337,128.73333333333332,42.00167078616225,146.45533333333336
3,40,114.0441682924832,125.15864532177446,104.39940867585597,147.76534999999984,167.425,126.92499999999998,47.766597009444595,142.775
4,50,108.73784698840512,119.5900610753848,98.82995204758595,138.16453999999987,157.24000000000004,120.60000000000002,53.408744519872954,133.455
5,60,132.67454757118801,141.51940013669002,121.60536964518346,141.5117166666668,153.45,129.05,69.3756982433039,136.45533333333333
6,70,137.80585868407823,149.22077799220116,127.6930318388012,145.0415000000002,156.49999999999997,133.72857142857146,81.98146052099531,140.00771428571426
7,80,128.08783517869304,136.68529810271087,119.52279856729785,137.52101250000007,152.50000000000003,125.52500000000006,80.34350448377263,132.675
8,90,134.14982777964974,143.53989327421067,122.16745431426604,143.52655555555563,154.1888888888889,129.04444444444448,86.37965085017484,138.37755555555555
9,100,144.13668906223455,153.95734365760703,134.25734374916604,146.9555,157.48,134.86,95.35834289801238,141.83
10,110,140.32597220949557,149.35453915630134,130.54547721561403,140.44150000000016,150.14545454545453,128.7181818181818,92.2725400527195,135.47272727272724
11,120,135.58927826176662,143.11337275158832,128.10541707441678,143.3352249999999,152.67500000000004,134.44166666666666,95.40684867723016,138.32199999999997
12,130,133.7826930519136,143.06383922374656,125.26577552983875,141.77780769230753,151.95384615384617,131.47692307692301,94.42630816777792,136.72969230769232
13,140,139.13758155002705,147.23539231033718,130.7001477944266,144.16425714285717,154.6142857142857,136.08571428571432,101.72471061968596,138.9648571428571
14,150,138.23762631328947,145.58996663232867,131.19790306646274,140.75700666666677,149.38000000000002,132.53333333333336,99.76720163846069,135.63333333333333
15,160,141.55869990993662,148.2437498737315,134.0124999002732,142.08413125,151.33124999999998,132.87500000000003,103.64581804062927,137.10625
16,170,141.44414639486936,148.20882266213974,134.36764641749934,143.62374705882357,152.07647058823528,135.29411764705884,105.69158758186532,138.64117647058822
17,180,139.62236132243692,148.24761357900368,131.736499115006,142.0516999999999,151.6277777777778,133.64444444444442,103.48871095444912,137.1053333333333
18,190,143.54923752122602,150.84122828931905,137.3938580614641,144.35569999999976,152.19473684210527,137.1157894736842,110.53058683810278,139.29473684210527
19,200,144.9159844602187,152.0399938716387,137.52499367375117,147.42988499999998,154.58,139.025,110.01203019644186,142.357
20,210,135.98608725491766,142.5597240325359,127.78449993491012,136.90489523809538,143.73333333333332,128.71428571428572,103.52154504899269,132.06666666666666
21,220,139.25460567471825,146.60740107310892,132.31309810951956,139.73772727272717,146.5545454545455,132.36818181818185,107.97497632606638,134.6863636363636
22,230,136.95248397155007,143.06602835354198,131.02207041054106,138.13098695652175,145.19565217391306,131.77826086956526,105.70266011844129,133.07391304347826
23,240,139.914378893291,146.1833328956733,132.8541662091639,140.54459166666658,147.77083333333337,133.65416666666664,110.0193564320939,135.46666666666664
24,250,138.42276780387178,146.21599971079604,132.7999997259512,138.68458400000011,147.60799999999998,132.17199999999997,108.52876267451094,133.56
25,260,139.1067139491624,144.30256389849166,133.19102544786716,140.4452384615386,147.23461538461535,133.8,108.99898993695867,135.51046153846156
26,270,141.24307461894543,146.59835369937826,133.60203529408068,142.75304074074066,149.74814814814812,133.79259259259257,113.18840531464882,137.7111111111111
27,280,145.55443854224688,150.78629662582628,140.00517100979252,146.52749642857154,152.27857142857144,140.28214285714287,118.82849473957835,141.47142857142856
28,290,141.2448399737248,146.9058248009195,136.0549163456542,142.97548275862064,149.39310344827587,137.1379310344828,114.2636502389532,137.96896551724137
29,300,140.71611639548118,146.1299998903801,135.50333310328645,142.24856666666656,148.85999999999999,135.31333333333333,113.4786587301852,137.20000000000002
30,310,141.7934946194187,147.16455114498015,136.1255841683534,142.80918387096796,148.6483870967742,136.1290322580645,115.84775137786279,137.82580645161292
31,320,140.10070620491004,144.60624991901028,133.787500020472,140.68260312499999,146.96562500000002,134.5375,114.6447782201576,135.69062500000004
32,330,143.86443745407985,149.4982776782423,138.80409637526188,144.43244545454533,151.59393939393937,139.30909090909097,118.74368696056962,139.45151515151517
33,340,139.7395456805503,144.613168420189,133.68908349710287,141.4421147058825,147.44705882352946,135.42058823529413,114.64999109389606,136.32058823529414
34,350,141.4000509545707,146.31029789616122,136.06038719507308,142.78282285714295,148.71142857142854,136.85142857142853,116.63019831185105,137.70285714285714
35,360,143.87407981752744,148.78770828930203,138.5165264341594,144.46196111111115,150.44722222222225,138.12777777777777,120.11721715023359,139.47500000000002
36,370,139.73128010289986,144.51017238144607,135.04929709050327,140.3131351351353,146.71081081081084,135.46486486486486,115.87922842847323,135.33783783783787
37,380,142.00668788309815,147.3412266699965,136.44122746671712,142.82932894736862,149.97631578947363,136.37631578947364,118.37013459713121,137.77105263157895
38,390,141.1629634666055,144.946237253572,136.7503277447282,141.95548974358985,147.174358974359,136.61282051282052,118.45658247757152,136.96153846153848
39,400,142.5432849389483,147.3558345758884,137.1633328661382,143.56524750000003,148.96499999999997,137.80999999999997,120.06890654322407,138.6625
40,410,142.9353870948033,147.44902713752694,137.85249160044384,143.47406341463426,149.06585365853658,137.62926829268292,120.46775472301312,138.61463414634144
41,420,141.32995808802085,145.78095073660776,137.0833319464682,142.36559999999994,148.45714285714286,136.83809523809524,119.10332096802236,137.40952380952382
42,430,141.25804196125358,145.25059752064345,137.29608541998346,142.44010232558145,147.65348837209302,137.353488372093,119.21711143117042,137.51162790697674
43,440,141.45866010624886,146.45378687097303,135.59015332512658,142.61868636363613,149.1159090909091,135.0818181818181,119.37749310611602,137.54318181818178
44,450,141.15000214105922,146.47057794180316,137.08924443416873,142.1001022222221,148.46666666666667,136.96666666666667,119.56572094365276,137.09111111111108
45,460,140.05280882871045,144.70863019871757,135.55900884386108,140.34334999999996,145.81956521739124,135.33260869565214,118.5932825699777,135.32391304347826
46,470,140.26913856340096,145.492900775372,135.86737537152464,140.9104978723405,146.84680851063834,135.3872340425532,118.94906173963238,135.95744680851067
