,N,obj_robust_mean,obj_robust_max,obj_robust_min,obj_nonrobust_mean,obj_nonrobust_max,obj_nonrobust_min,robust_obj,nonrobust_obj
0,10,116.51928686369256,135.93868897227253,90.36949874004863,156.1444,188.59999999999997,114.19999999999999,38.44163875505663,151.371
1,20,115.38964638302232,128.5427223251959,102.30476768580769,147.9138999999997,167.4,124.24999999999994,55.44411364804854,143.05599999999998
2,30,139.28232881687205,155.2467543587174,123.0799998907672,148.86063333333325,167.4666666666667,130.20000000000002,80.79446822717517,143.57500000000002
3,40,145.52441499636626,159.01393170908634,132.31788351216278,153.6025999999999,167.70000000000002,135.825,99.20170152664564,148.78500000000003
4,50,158.7867225261824,171.17318973513738,146.6331915015994,160.15165999999977,174.10000000000002,146.18,111.66566837602024,155.078
5,60,145.58919523110305,156.62925027450632,133.38390862822746,148.29823333333331,163.08333333333337,131.25,106.02019332746475,143.23700000000002
6,70,139.78257005968334,153.58173701770679,128.14828241268907,143.06829999999994,158.52857142857135,128.64285714285714,101.30083082643179,138.19342857142857
7,80,141.67586585438053,152.5666528244074,132.14473052774758,142.6508499999997,154.375,130.8,106.25038207696088,137.73450000000003
8,90,141.1135792824712,151.78880757319303,131.51599635015918,144.26533333333333,155.97777777777776,132.09999999999997,109.09624144088987,139.23333333333335
9,100,143.5872138449614,153.41341492484239,133.8419509517695,145.50149999999977,157.26999999999998,133.88999999999996,112.59414411658494,140.38000000000002
10,110,142.58300742559754,150.33702476211238,133.33451783979018,144.6220090909091,154.9545454545454,134.38181818181818,114.65622695968601,139.5636363636364
11,120,141.53046236183798,149.2364313034621,132.16411597920217,142.0767833333333,151.29999999999998,132.725,114.02501767565869,137.025
12,130,138.51684704015938,145.764640003343,128.04432880394234,140.25374615384615,148.83846153846156,129.20000000000002,110.96791621704907,135.29999999999998
13,140,139.93299013893704,147.20623727153225,132.8322809999567,140.79852142857126,149.9142857142857,132.04285714285717,114.00953427053665,135.85714285714283
14,150,142.7526815515206,151.21497076670164,134.70915277968456,145.18091999999996,155.36,136.51333333333332,116.18591274190246,140.05533333333335
15,160,141.76219501572947,149.6736085716104,134.01802065478526,143.8610937500001,154.62500000000003,131.38750000000002,116.62090853226907,138.84699999999998
16,170,139.2971192466959,148.62642806755704,131.52690649644532,140.75494117647062,150.29999999999998,132.97058823529406,114.80572598461602,135.7764705882353
