,N,obj_robust_mean,obj_robust_max,obj_robust_min,obj_nonrobust_mean,obj_nonrobust_max,obj_nonrobust_min,robust_obj,nonrobust_obj
0,10,138.013219360631,149.50768168667696,120.93480002453805,159.6604999999999,187.19999999999996,129.20000000000002,106.41416230735211,155.563
1,20,130.0692486319106,151.9820184393538,111.4078600227876,138.63529999999986,167.15,112.90000000000003,76.32760324892877,133.62199999999999
2,30,135.89887952826388,150.49503836731532,117.45958053534801,141.1285333333334,160.56666666666666,118.1333333333333,86.38826473814339,136.455
3,40,131.12717460311947,143.0313037285002,114.18734222385521,138.06930000000014,150.825,119.32499999999999,95.41817507242908,133.143
4,50,152.74985878111812,167.4955706855179,136.62864196136394,153.82995999999997,168.92000000000007,137.56,114.04217437999924,148.822
5,60,139.63344876118862,152.20514766860444,125.80308271700287,142.86481666666666,156.01666666666665,126.95000000000005,104.1855785138088,138.02133333333336
6,70,137.02845395718538,146.93364145908976,125.4557079118151,138.11358571428565,152.57142857142856,124.92857142857147,103.36183206425557,132.95714285714286
7,80,141.46670326425848,153.43958791920264,130.817823441857,143.19416249999975,158.275,130.03750000000002,110.13626467802322,138.37199999999999
8,90,143.37130665566463,151.82380462595688,132.2982767386584,144.63724444444443,156.89999999999998,131.85555555555555,113.89619134880715,139.67777777777778
9,100,143.45972416015266,154.7379443801751,134.7755298425001,146.2563999999999,157.46,135.60999999999999,115.09615335819616,141.39
10,110,142.754064028023,153.25854497825827,132.5728733548633,144.9153454545455,157.10909090909087,134.59090909090912,115.8398883507562,139.9090909090909
11,120,136.66484701936855,145.03595056852916,127.02196053026123,138.39118333333337,149.0583333333333,126.09166666666664,108.93084954977796,133.34166666666664
12,130,139.26405842065657,148.17275951153601,129.8413210812174,139.9025076923078,150.75384615384624,130.54615384615386,113.36891923566087,134.8692307692308
13,140,141.4824946214209,148.65386258798378,134.15083343638497,141.70337142857133,149.91428571428577,133.4928571428572,116.78724812613885,136.49285714285713
