,N,obj_robust_mean,obj_robust_max,obj_robust_min,obj_nonrobust_mean,obj_nonrobust_max,obj_nonrobust_min,robust_obj,nonrobust_obj
0,10,-0.127141091401539,2.9568462066819947,-2.451225490054057,1.100779630783248,5.573348205261567,-13.548601387436436,-4.500000049065785,3.1599999999999966
1,20,-0.2180682042779931,1.9035289160288826,-2.3971015044497506,2.5877234174291304,5.892021728022357,-8.025105503114728,-4.499999999115571,3.1599999999999966
2,30,4.7978210417554665,5.752401022764673,3.705320202371553,2.9632106340156446,5.574466664450284,-5.500560555524416,-2.322554008307263,3.1599999999999966
3,40,4.776073415077353,5.749343076269227,3.9007425521454593,3.3896357201218192,5.525753031634121,-2.5724273740127828,0.6525252018650725,3.1599999999999966
4,50,4.773224109520453,5.64559766567578,4.029424531743487,3.557262867844627,5.566498518441378,-2.0662364763057575,1.1999999945585955,3.1599999999999966
5,60,4.774225319741528,5.524445424245961,4.053867912915628,3.5884611980485284,5.593262959562278,-2.3076948040317156,1.1999999999251232,3.1599999999999966
6,70,4.796359584472949,5.438172103047194,4.054684471348821,3.813732236153551,5.643454813577179,-2.920383529250728,1.8357742593203479,3.1599999999999966
7,80,4.781135286608621,5.431092433264503,4.04360239568301,3.872891227834026,5.579942432150666,-1.0078431067972637,1.9999999991551696,3.1599999999999966
8,90,4.787021244442636,5.380765961855822,4.164676301614811,3.937664803388627,5.552876436298064,-1.3621723019074032,1.9999998658988782,3.1599999999999966
9,100,4.789890875816813,5.549773732710783,4.231321057815428,4.039953206267504,5.571284259871462,-0.3972762881424501,1.9999998953134355,3.1599999999999966
10,110,4.789232384007609,5.365153279092091,4.234675559531787,4.124077446352784,5.4515177622839275,0.3224391554380617,1.9999998340816982,3.1599999999999966
11,120,4.78683343077846,5.350482704108941,4.307564166039668,4.113088203888108,5.439051671433113,-0.3429413767199634,2.0000001019430806,3.1599999999999966
12,130,4.799118842256918,5.364218976553495,4.308826861673005,4.173730353235723,5.438417981281873,0.4152026688114425,1.9999998457258739,3.1599999999999966
13,140,4.787537928734089,5.260879268023174,4.245555563925706,4.173049433319971,5.551143879791958,1.0120543619247293,1.9999999969587416,3.1599999999999966
14,150,4.790193760093235,5.244985661880349,4.251780110205814,4.187714917711388,5.360239621046979,0.34083711617719814,1.999999995444896,3.1599999999999966
15,160,4.7891977504313425,5.29449768866975,4.33939447679505,4.29916000545697,5.651145338893166,-0.14344874488488912,1.9999999412467422,3.1599999999999966
16,170,4.787843864531455,5.246378874871006,4.28911190207549,4.28415119476886,5.567913533157206,0.3408454250653641,1.999999720856114,3.1599999999999966
17,180,4.79901773675192,5.27936557510931,4.261357194840301,4.298951186421024,5.428262519222255,0.7692591564272604,1.9999996321631794,3.1599999999999966
18,190,4.79162135112651,5.2057173759844275,4.316199432094059,4.334686031105368,5.459575933838348,1.1972952738401546,1.9999999951792966,3.1599999999999966
19,200,4.785820287365808,5.337210566046444,4.351314653994741,4.371904112524604,5.4943460779908975,1.1933916499242052,1.999999998581311,3.1599999999999966
20,210,4.791006999637533,5.219412137392723,4.359801929273125,4.349503042807359,5.454559174095387,1.2100259088103584,1.9999999994249895,3.1599999999999966
21,220,4.790549196826016,5.2242278407535,4.32697896654394,4.3753420093867605,5.355776066268664,0.2868727683083492,1.9999999958046297,3.1599999999999966
22,230,4.788369942009843,5.199073863383894,4.332236193971475,4.439065115149898,5.3785487432749335,1.7718096575611142,2.000000000276254,3.1599999999999966
23,240,4.79185448199006,5.209380348757421,4.418689331469281,4.411605793222383,5.385035127807583,2.151599958726738,1.9999999911078323,3.1599999999999966
