,N,obj_robust_mean,obj_robust_max,obj_robust_min,obj_nonrobust_mean,obj_nonrobust_max,obj_nonrobust_min,robust_obj,nonrobust_obj
0,10,4.71646203747695,6.513497955039682,1.8757582246919497,1.2333758610055234,5.770277276106409,-11.468376768168493,-0.3245062429357484,3.1599999999999966
1,20,4.787065635852594,6.266308247171473,3.2684145565986,2.450043446177414,5.676384017097565,-6.252318812995075,1.8842087981424185,3.1599999999999966
2,30,4.820547959815909,5.910615836217708,3.9297993720068476,2.970131408326286,5.807377419262679,-4.599926159356233,2.0307466229037963,3.1599999999999966
3,40,4.811311509919368,5.671588634600482,4.0219412032625215,3.285865468268331,5.7829310625645505,-3.8015710552787425,2.084405092067756,3.1599999999999966
4,50,4.785544610628622,5.740351696189563,4.034829490463672,3.535295144494348,5.543026022982659,-2.584533531248546,2.1336859033011435,3.1599999999999966
5,60,4.807450302144192,5.533416630615974,4.002611701218299,3.670651720143932,5.571739209980649,-1.7019416237372837,2.175837755410387,3.1599999999999966
6,70,4.796590276418771,5.504001165854362,3.9434662014862525,3.7851887899482817,5.566754231270799,-2.872037262556333,2.2116791988415754,3.1599999999999966
7,80,4.8107077529496385,5.475808087588007,4.135105457291807,3.8881959035882065,5.641264947339906,-0.9523729214416718,2.2423978911046842,3.1599999999999966
8,90,4.8157257057474725,5.6704502691684056,4.046559277472227,3.96711110510324,5.486961646599859,0.11933625899817102,2.269012886270013,3.1599999999999966
9,100,4.807119041641805,5.509162623735179,4.019885093187945,4.052552064238558,5.459654079727603,-0.5888517831276765,2.2923218128161884,3.1599999999999966
10,110,4.802869089577136,5.632321218352125,4.1747552953010825,4.04920210488739,5.464800156126543,-0.3778701277883343,2.312937975288293,3.1599999999999966
11,120,4.816844523397496,5.466782612047446,4.201366690570808,4.14599295914482,5.372618701957499,-1.4489570488816845,2.3313339505274713,3.1599999999999966
12,130,4.809585735595601,5.543960689406184,4.155529319930096,4.165513108820028,5.523927300018769,0.22847040385338602,2.3478773817493694,3.1599999999999966
13,140,4.809402122727232,5.457734895517959,4.243323030554059,4.214875728487806,5.399098581758576,1.2502757030677465,2.3628580958053895,3.1599999999999966
14,150,4.8183718905876605,5.41223419184071,4.1312133070857655,4.253149597492546,5.482966338819651,0.14916173583051062,2.3765071105168154,3.1599999999999966
15,160,4.801335792981517,5.3515384404044255,4.239812662757608,4.244480869933585,5.344386608726012,0.9116950071666636,2.389010834725361,3.1599999999999966
16,170,4.809748618936509,5.377800470445024,4.240788658299735,4.3058462417642165,5.333265764936261,0.5812031911427482,2.400521620186903,3.1599999999999966
17,180,4.816895243261466,5.3394898776007835,4.172860870007639,4.30078291939317,5.4343856474962635,0.217714765035673,2.4111648781197275,3.1599999999999966
18,190,4.820879090348043,5.3349071621210555,4.17402883711344,4.381922891124558,5.390676207613691,1.0979069157019659,2.421045076091945,3.1599999999999966
19,200,4.806907417773534,5.326573737686601,4.284186065245727,4.351647643815387,5.441287690561097,1.5405818534558726,2.43025002222351,3.1599999999999966
20,210,4.817006743864914,5.291522782765064,4.297932303601598,4.345820008686988,5.368829224235782,0.8966035989571388,2.4388538588463087,3.1599999999999966
21,220,4.8249437982395476,5.4131466443918015,4.326371459910007,4.419121849594529,5.452120483913504,1.689864245676361,2.44691992509744,3.1599999999999966
22,230,4.814814069482114,5.390031256134847,4.357893633916845,4.40701842329032,5.347405480070535,1.3354385575206038,2.4545026703793,3.1599999999999966
23,240,4.824233603305281,5.26721070081652,4.414578022860297,4.424809259000941,5.393793093180356,1.2360112527742153,2.461648950630561,3.1599999999999966
24,250,4.81951152614488,5.366262345402262,4.31313650334117,4.458324353935292,5.391178471746084,0.8221376127954834,2.468399982714147,3.1599999999999966
