,N,obj_robust_mean,obj_robust_max,obj_robust_min,obj_nonrobust_mean,obj_nonrobust_max,obj_nonrobust_min,robust_obj,nonrobust_obj
0,10,4.624973190668005,6.381376268327799,2.283660259215175,1.171802593427196,6.073486206452074,-12.427986651548782,1.1999999666163312,3.1599999999999966
1,20,4.797046019165391,6.068780763481662,3.5243617560048435,2.4801674664034636,5.598697070184656,-7.809647075981715,1.999999964768242,3.1599999999999966
2,30,4.787363536976076,5.8338045520786395,4.0158717853989785,3.060253412792599,5.710477206711591,-6.757537804119796,1.9999999887268323,3.1599999999999966
3,40,4.790794892848859,5.70390524118573,4.035865188232634,3.365369235925464,5.472901107801974,-4.463395790821789,1.9999999483414703,3.1599999999999966
4,50,4.810200282542081,5.687552866301779,4.026294138838203,3.5251106259475558,5.718151998298893,-3.008362301204695,1.9999994942664856,3.1599999999999966
5,60,4.809851945327612,5.782116796096346,3.878217721891062,3.6607163692566247,5.547769803493569,-1.9394064855419906,2.049059587783406,3.1599999999999966
6,70,4.830059944754408,5.777439139608262,3.662708670343072,3.824010956907901,5.474062714626321,-1.9969611276993398,2.107059072443479,3.1599999999999966
7,80,4.835995314838858,5.827924211086,4.003663540241121,3.8897286500758956,5.45884408640276,-0.7361272162970778,2.153776570867725,3.1599999999999966
8,90,4.838233428632241,5.783902801168097,3.6201723505648715,3.9801313396855287,5.4744116090931385,-1.0498903168050902,2.192456916245306,3.1599999999999966
9,100,4.832065543521217,5.72904384995541,3.915560177759289,3.9961229382282544,5.501849867576993,-1.0958605240417647,2.225172529479462,3.1599999999999966
10,110,4.817851459692794,5.63956142392388,3.9254835395014567,4.037606518293959,5.420949507394965,-1.2631959807431734,2.253316970094175,3.1599999999999966
11,120,4.829233489155711,5.678342987466358,3.8745705211646495,4.131627695155944,5.54322190153583,0.21863406282767528,2.2778669149692563,3.1599999999999966
12,130,4.807833320227012,5.509278589735388,3.9761870325991,4.092573028112075,5.365419676723114,0.2378013070998506,2.299529689773858,3.1599999999999966
13,140,4.830962100340221,5.676125295723537,3.9923067776749974,4.197459254746811,5.443801047293196,0.18580134723362463,2.318831851926455,3.1599999999999966
14,150,4.837593156233405,5.59932822450844,4.126497327634176,4.263829551420208,5.53083847438424,0.23590187483146963,2.3361746280443287,3.1599999999999966
15,160,4.834337460124993,5.536566629743469,4.13118633627866,4.27308737151916,5.424582350488837,0.9232305021627418,2.35186974036219,3.1599999999999966
16,170,4.825575034339797,5.439116398590635,4.1993525990890035,4.27943095381939,5.36905141009867,1.6314774556780236,2.366163621979103,3.1599999999999966
17,180,4.822224955668883,5.455695927212332,4.089894321717885,4.3015839643079445,5.495363828267315,0.7812004993359167,2.37925398125922,3.1599999999999966
18,190,4.836783058004685,5.411586838475991,4.247614896645807,4.363141519158335,5.406541131648279,1.700358049836673,2.391301536437356,3.1599999999999966
19,200,4.826792199738269,5.458480392960141,4.15596707881695,4.34385028742642,5.350445633924053,0.8417328847190824,2.4024384145370496,3.1599999999999966
20,210,4.832423694837697,5.380475665162017,4.268973705945996,4.391832852851071,5.4478347024411775,1.6536464955019738,2.412774524777557,3.1599999999999966
21,220,4.8327455230632985,5.37898566412197,4.240710299908763,4.415590375789387,5.4483084189757705,1.5636223072101494,2.4224020071022947,3.1599999999999966
22,230,4.825308525593333,5.402550491343973,4.276922525198813,4.388110637523226,5.352004947880854,1.32224446242844,2.4313986979833393,3.1599999999999966
23,240,4.831443021145324,5.438582389468074,4.192905810409584,4.457118992564164,5.344236149530172,1.2786803013917414,2.439831072758519,3.1599999999999966
24,250,4.832046462425876,5.319620851691248,4.320070204737206,4.45387616750348,5.392548741694021,1.8509857455278151,2.447756126128951,3.1599999999999966
25,260,4.820255666783485,5.37345066584129,4.32425668443711,4.442931456077718,5.410656951572591,1.2734433173745217,2.4552230757965647,3.1599999999999966
26,270,4.843017643697279,5.412093450885074,4.279146964374206,4.475251306757024,5.3622476176452665,1.696169623512283,2.462274605746405,3.1599999999999966
27,280,4.8289699829702295,5.420419921916924,4.274018074378368,4.48582000523049,5.324844625814155,2.0159316139102756,2.4689490252269968,3.1599999999999966
28,290,4.849214459904438,5.434736525907411,4.291794454524542,4.524108287208973,5.320768080636057,2.172774774793311,2.4752781280342737,3.1599999999999966
29,300,4.831880744523419,5.405337558283456,4.333178258105995,4.508218074641422,5.365953030144453,1.895916951009056,2.481291165749713,3.1599999999999966
30,310,4.829621343109363,5.385198852233508,4.299959218241739,4.50304865611431,5.361887640127385,2.0102275618863956,2.487013900405954,3.1599999999999966
31,320,4.843685113502427,5.335241564765752,4.406187469009623,4.535749826796285,5.422318871546857,2.150589885919956,2.492469166810676,3.1599999999999966
32,330,4.842478966707351,5.3389718528543995,4.300049078546401,4.561504967702587,5.421926070616728,1.6104375030671179,2.497677389461945,3.1599999999999966
33,340,4.837825335483623,5.376361126520884,4.3384799746787905,4.560164932554975,5.314609871586484,2.173896690259859,2.502656825141467,3.1599999999999966
34,350,4.832904797968037,5.291904166590278,4.422590127781241,4.5548783411953515,5.326553532462626,2.131107158072197,2.5074239081213845,3.1599999999999966
35,360,4.83620522519755,5.40868791010616,4.266690211623981,4.574363639929145,5.300117814567294,2.5235497693158244,2.5119934849050267,3.1599999999999966
36,370,4.847493043390457,5.25371733843626,4.369370150679863,4.563721762507796,5.378975132893778,2.2588270428817516,2.5163789784622885,3.1599999999999966
37,380,4.83336373039541,5.3733931460565145,4.3994537338356565,4.576714728233074,5.315679306314351,2.1042009259076444,2.5205925317127553,3.1599999999999966
38,390,4.834047397549747,5.376200871929058,4.3360028964322055,4.567825440522552,5.379964351219172,1.951191141047829,2.524645275644761,3.1599999999999966
39,400,4.823678792109916,5.288613739625873,4.345609462117004,4.569389700703088,5.30719927512218,2.299882575852191,2.5285472835093734,3.1599999999999966
40,410,4.8419761824239105,5.277060393437068,4.3858452490116875,4.606405120664457,5.367282423886877,2.741724868571076,2.532307792923038,3.1599999999999966
41,420,4.832504332166118,5.306349644706785,4.440573481750519,4.607568167724722,5.392747364579218,2.3707429422132265,2.5359353525566215,3.1599999999999966
42,430,4.841084039769748,5.2476175126440054,4.426313241839914,4.602660236171092,5.369761377644124,2.3457252053482804,2.5394375588513776,3.1599999999999966
43,440,4.82915155255105,5.325757788236125,4.3513516774148755,4.591569665349641,5.45018096131157,1.8498437292849417,2.5428216517953257,3.1599999999999966
44,450,4.83801111597199,5.221570145480314,4.289477793664986,4.624062373297205,5.429936623947182,2.4930027783249002,2.546094174770333,3.1599999999999966
45,460,4.833409370909245,5.306683214568686,4.407083258271108,4.6129699553960775,5.33660765927705,2.075861933609012,2.549261270725967,3.1599999999999966
46,470,4.829984138339309,5.237565246719811,4.437723326975103,4.6217641533248575,5.30219780143495,2.767448780577567,2.5523285157669404,3.1599999999999966
47,480,4.83858349460784,5.23330538816537,4.473371849547291,4.65444129683866,5.347613445483919,2.236988736554565,2.5553009944054397,3.1599999999999966
48,490,4.826114593424593,5.318128599910004,4.412164270845601,4.611331792355271,5.306520243869784,2.6646107577646205,2.5581840264613627,3.1599999999999966
