,N,obj_robust_mean,obj_robust_max,obj_robust_min,obj_nonrobust_mean,obj_nonrobust_max,obj_nonrobust_min,robust_obj,nonrobust_obj
0,10,-0.5072545324513086,4.057548692515134,-2.5000000085624166,1.8264153134453334,6.199999999999996,-10.0,-4.499999806542065,3.5999999999999943
1,20,-0.5264999872645174,3.5000000140282737,-2.4999999899171783,2.653660750760576,5.669339198240522,-7.8500000000000085,-4.4999999986412185,2.8000000000000114
2,30,4.066145375505232,5.368417746130206,2.0521999182660124,4.031811645133505,6.800000000000004,-3.5,-3.851077844806133,3.933333333333337
3,40,4.698165915826037,6.226240202489635,3.314458841180617,4.924852348914585,7.021943573667713,-2.125,-2.285714537052155,4.5
4,50,5.348022545378998,6.546713081730957,4.186678270432743,5.014722141967818,7.129682997118152,0.2108707124010749,0.5829908605223479,4.599999999999994
5,60,4.337601086080681,5.499469839046135,3.9973491952306617,4.467095426953409,6.575138121546978,0.5,1.8210106342080452,3.833333333333343
6,70,4.152226042105943,4.714610077212939,3.9954589190188585,4.653557815277298,6.571428571428569,0.2857142857142918,1.1999999995505224,4.0
7,80,5.819603621895373,6.833307086895914,4.208339668680281,6.233754939734217,7.899999999999999,2.8374999999999915,2.0134407075397585,5.375
8,90,4.455444444443436,5.555555555769324,3.9999999993052597,3.8264638332644223,4.763742690058486,1.3999999999999986,2.0000000083128584,2.4444444444444287
9,100,4.295100009725703,5.0999999991010085,3.9999999964040427,5.291110282263279,6.739999999999991,1.990000000000009,2.0000004292147904,4.5
10,110,4.999000000680018,5.909090912651685,4.181818178161187,4.688006305891007,5.760676532769558,1.3999999999999986,1.9999999155549442,3.3818181818181756
11,120,4.754666666748848,5.91666666660786,4.083333333465667,5.1426095393381885,6.520988372093008,2.5833333333333286,1.9999999957532897,4.25
12,130,4.8508461538424905,5.615384615365109,4.2307692308029345,4.157165658757167,5.281943697328309,0.8769230769230774,2.0000000004075322,2.9384615384615245
13,140,5.06807142944514,6.07142857228331,4.428571428503048,5.208218384626267,6.3536474164133665,2.3714285714285666,2.0000000593109966,4.142857142857139
14,150,4.471199999231749,5.06666666718619,3.9999999974023694,4.8269518096110895,5.9879410880673305,1.9266666666666765,1.9999999479301218,3.666666666666657
15,160,5.307395730309183,6.208332518353188,4.333334112879541,5.0149927170991715,6.000000000000007,2.5,2.181513130979402,3.625
16,170,4.705411763976025,5.352941173489427,4.117647058301827,4.326573421755491,5.277463712757829,0.7882352941176407,1.9999996083539684,3.058823529411768
17,180,4.893222222218315,5.66666666664711,4.222222222237868,4.476952754952799,5.555555555555557,1.7666666666666657,1.999999999970299,3.188888888888897
18,190,4.690368421064075,5.315789473653737,4.105263157960934,4.615722161975921,5.660230632761682,1.6631578947368553,1.9999999989552226,3.3684210526315894
19,200,5.193587222985237,6.067410350407727,4.017016566445193,4.680623128085502,5.560456375838925,1.6299999999999955,2.1658614770443227,3.3700000000000045
20,210,5.042476190526027,5.904761904877255,4.476190476194596,5.483513860652656,6.298712446351949,3.980952380952381,2.000000000554506,4.076190476190476
21,220,5.17949993417448,5.999999886958101,4.499999941951458,5.609026197620368,6.546011510613276,2.8818181818181756,1.9999997673467955,4.381818181818176
22,230,5.023897002106413,5.94202225716063,3.942031525801383,5.000740424114078,6.03414018584375,2.826086956521735,2.0439987513250695,3.6956521739130324
23,240,4.749166668722448,5.249999998951665,4.250000012579989,4.525614360747283,5.26250000000001,2.041666666666668,1.9999999938723585,3.0
24,250,5.1316532902553575,5.813333192695737,4.0533334036521325,5.339881786704755,6.170356164383556,2.960000000000001,2.224157208967283,3.8000000000000114
25,260,5.09922536529533,5.833332268177401,4.179487853041664,4.88615675750708,5.83461538461539,2.196153846153848,2.2151279330786324,3.538461538461547
26,270,5.364703774806783,6.25925940236381,4.555555551580419,6.1701405239632034,6.821164021164016,4.296296296296298,2.5377899492991025,4.703703703703695
27,280,5.162440836700826,5.940476810455621,4.29761906811423,6.28458600518775,7.031263460157938,4.392857142857139,2.258162249518557,4.821428571428584
28,290,4.869413792463286,5.448275856263152,4.34482758750557,4.490897940539666,5.334432575811899,2.3137931034482904,1.9999999930085413,3.0068965517241395
29,300,4.679000000076547,5.0666666679952925,4.266666665411854,4.378038873947114,5.126847701149423,3.133333333333333,1.9999999910475648,2.7266666666666595
30,310,4.677677417870252,5.161290319344843,4.32258063415955,4.364347699525647,4.985936933671624,2.961290322580645,1.999999976085342,2.716129032258067
31,320,4.6212187499977375,5.124999999987985,4.312499999998444,4.41493322585611,5.089764150943395,3.1000000000000085,2.000000000078307,2.7562499999999943
32,330,4.961809338391693,5.65885403442843,4.3224671337609095,5.098714697689477,5.694952094952093,3.624242424242425,2.16898666048929,3.4484848484848385
33,340,5.416039233839047,6.186274530190019,4.627450978634727,5.86753229897327,6.609002557544752,3.982352941176458,2.7171695152181154,4.441176470588232
34,350,5.098761853609563,5.733333193224787,4.419047659078643,5.2592689113757505,5.855548636193788,3.571428571428573,2.365193826328367,3.657142857142844
35,360,5.108638606249217,5.749998611930444,4.444444970953597,5.0345951530500646,5.6796610169491615,3.333333333333332,2.3881441676922743,3.444444444444457
36,370,4.9947656944909085,5.6306303632853485,4.279279412951922,4.862520516317177,5.5864864864864785,3.0297297297297234,2.2492521911099446,3.378378378378386
37,380,5.044307009432296,5.728070148594739,4.149122821405854,5.319436721719028,6.052160123435662,2.973684210526315,2.3283447734755764,3.7105263157894797
38,390,4.916641451602453,5.449509884541705,4.303882168213974,5.220135904837926,5.827291190657533,3.4512820512820497,2.1635267997934338,3.707692307692298
39,400,4.857785934147736,5.416104030916351,4.188884246364971,4.9720177849349785,5.545000000000002,2.8549999999999898,2.1398799049473136,3.4399999999999977
40,410,4.84464960958542,5.528450402016929,4.065042958514397,4.761099928155893,5.4406406112253975,3.121951219512198,2.137404984009894,3.121951219512198
41,420,4.923618361521688,5.642845231444596,4.285726991220997,4.526652832197475,5.198619737750182,2.7619047619047628,2.2454824775517728,3.0238095238095184
42,430,4.890425801811542,5.496109903842225,4.21708824512622,4.554261174526406,5.1148119244576336,2.8372093023255793,2.2134475728209533,2.9069767441860392
43,440,4.794696961369277,5.401515116666722,4.106060640372924,4.549338820879456,5.263747881166907,2.4181818181818215,2.126768480691846,3.068181818181813
44,450,4.835311107822011,5.511111093291184,4.133333340537135,4.7152166623554255,5.33162790697676,3.1111111111111107,2.147483343902728,3.177777777777777
45,460,4.779847754409371,5.239130144191449,4.413043440765229,4.54022073316195,5.1620750728446545,2.876086956521732,1.9999999855363328,3.0043478260869563
46,470,4.777803147064095,5.421958258808125,4.123419958277736,4.706101688925886,5.284586440446027,3.0531914893617085,2.1080934210739484,3.136170212765961
47,480,5.171999986921489,5.666666636364305,4.583333344107501,5.524919815720863,6.197432807478833,3.9166666666666607,2.584163727180323,4.020833333333343
48,490,5.223435428249497,5.782313028585463,4.496598638163086,5.8970265761273755,6.544795543676457,4.469387755102041,2.6375332486043392,4.387755102040813
49,500,4.695698414222554,5.284731532743706,3.9651225963819456,4.464607187294109,5.055862913096686,2.7240000000000038,2.050502316418234,2.8799999999999955
50,510,5.0317450444854215,5.627450853238862,4.333333384194653,5.366585479933499,5.8941176470588275,3.705882352941174,2.4385461715229706,3.705882352941188
51,520,4.8745447082594,5.448715908448158,4.141027972762551,4.504065566476552,5.134661117716966,2.807692307692303,2.2620218076166307,2.961538461538453
52,530,5.1641069392401775,5.654088097026509,4.578616358521131,5.69575537694056,6.317381906606034,4.347169811320754,2.5896813481330634,4.132075471698101
53,540,5.27018627573481,5.740742747887289,4.629629451216601,5.798547399261481,6.355304136253032,4.407407407407405,2.726041412538226,4.203703703703695
54,550,4.875805272695478,5.387877013352423,4.096971304481805,4.9041568297421945,5.427648835623117,3.163636363636364,2.285614428497912,3.3272727272727423
55,560,4.837761903484506,5.386904758391864,4.279761908058624,4.832749611335609,5.315458111870406,3.4107142857142883,2.2623544407075578,3.1607142857142776
56,570,5.099350852248321,5.63157888049264,4.385964953680002,5.22293176572015,5.788968388713727,3.473684210526315,2.5517559853873806,3.666666666666657
57,580,5.21514385695265,5.7126440776640806,4.626436725341151,5.643557233197473,6.129339567504388,4.275862068965516,2.6766718815588386,3.9482758620689538
58,590,4.922435033351288,5.43502826471471,4.384180780450627,4.957113795163939,5.4352028162886015,3.4745762711864394,2.364264166269311,3.2542372881355845
59,600,5.070565827448616,5.716664559496749,4.566666817178799,5.393349893883249,5.949999999999999,4.133333333333333,2.5231827433864824,3.8000000000000114
60,610,4.763413558374218,5.309958899306437,4.239268672305755,4.5290789921005725,4.946923235743476,3.3278688524590194,2.1915146334778544,2.790163934426232
61,620,4.9467526711290235,5.4784945596457035,4.349462408070906,4.8512309531074465,5.451483612386042,3.2419354838709644,2.4021991282447157,3.258064516129025
