,N,obj_robust_mean,obj_robust_max,obj_robust_min,obj_nonrobust_mean,obj_nonrobust_max,obj_nonrobust_min,robust_obj,nonrobust_obj
0,10,1.3841734686554967,5.499999976799124,-2.500000023200876,2.8630775955509065,7.6000000000000085,-9.0,-4.500000551104891,4.400000000000006
1,20,5.23772106524945,8.097226887907148,2.76140376047379,4.556474588981642,7.164619340094227,-5.5,-3.05250128023318,4.699999999999989
2,30,2.870980539942183,4.129266239079055,1.7601191632179471,4.39619103581404,6.842666666666659,-2.867999999999981,-2.159310643941372,4.298666666666662
3,40,5.003973360754003,6.04736739673227,3.1951587796032115,5.824361488648598,8.200000000000003,-2.187500000000014,2.177518415233592,6.0
4,50,4.868268028501083,5.921154169608634,4.03735931757253,5.642700415891085,7.199999999999996,3.280000000000001,2.183056104767645,4.560000000000002
5,60,5.003680267913901,6.558125892969137,4.112396279817901,4.404606716199333,5.820833333333333,0.0,2.26429535178516,3.3000000000000114
6,70,4.323484320778312,5.05043723108934,3.946908177800701,4.885515659757151,6.742857142857147,0.5714285714285694,2.0157865780599686,4.142857142857139
7,80,7.586261496109558,9.044010636695383,5.1249999995248,6.920334224076446,8.187519319938183,4.661873990306944,3.4170176671149,5.800000000000011
8,90,5.404624770427775,6.226026938404253,4.605404036838074,6.039514656170134,7.4220155038759685,2.777777777777775,2.6873433174858703,4.7777777777777715
9,100,4.693286860675661,5.463241209540996,4.073517580918008,4.755949265782568,6.200000000000003,1.0000000000000036,2.2230494298885755,3.9000000000000057
10,110,5.301850505957909,6.474854679606864,4.121925964443662,5.32075957767511,7.031126881194162,1.1999999999999957,2.429871493817132,4.672727272727258
11,120,4.589932200816094,5.424632268106365,4.0665849484680905,4.169164757190003,5.1404761904761855,1.1666666666666679,2.185191670127028,2.833333333333343
12,130,4.6046452005564005,5.386409888450373,3.997964908183633,3.9070880956353435,4.975543290789929,0.5615384615384897,2.205662212020079,2.707692307692298
13,140,4.803060528771112,5.431656185909915,4.153691866033014,5.406000957997177,6.476714915040915,2.7142857142857153,2.345957408055672,4.071428571428584
14,150,4.719556067774705,5.348455634474341,4.236422064384648,4.867279628191177,5.8550220541903,1.4000000000000021,2.3140572166697497,3.4666666666666686
15,160,4.570033844481197,5.329554459843109,4.114645506523821,4.387811269948197,5.3627500000000055,1.9249999999999972,2.197069782539942,3.0875000000000057
16,170,5.259935528148158,5.993870859342252,4.59451360806618,4.952736350435858,5.936520473913955,1.876470588235307,2.763644769571825,3.823529411764696
17,180,7.197354626326451,8.561685242945977,4.555555557007814,6.768771969108688,7.800000000000004,3.9333333333333087,3.3317883960768797,5.599999999999994
18,190,4.836109728639948,5.540764491956011,4.321663762371131,4.429993661418146,5.49438479140996,1.5631578947368467,2.4196257981798905,3.094736842105249
19,200,4.89284497546918,5.477970784748642,4.361188313899461,4.822914709929506,5.985533141210382,1.9650000000000176,2.4865344980408186,3.6500000000000057
20,210,4.88368546391087,5.648591722407794,4.4038906991549425,4.7736488684136305,5.737427681352916,1.9095238095237903,2.488378592307822,3.5238095238095184
21,220,5.218916877399126,5.883006444606778,4.55181660996287,5.140855291042789,6.056149732620309,3.1227272727272606,2.7370632876563454,3.7727272727272805
22,230,5.200095956740897,6.147607663340402,4.4677545807742405,5.5305681637383355,6.332371001287491,3.939130434782612,2.5848514122795008,4.078260869565213
23,240,4.62142834319982,5.18241968838332,4.166666666666664,5.253619549699804,6.071285200719004,2.9833333333333485,2.265764532930712,3.916666666666657
24,250,4.83528876732321,5.420449144958667,4.361192039560159,4.341517918712394,5.238614173228363,2.09999999999998,2.4724514852009367,2.960000000000008
25,260,4.994571870635283,5.429111220828986,4.537279022380723,5.360639699765969,6.288246778602126,3.0730769230769255,2.5559030531228517,4.076923076923066
26,270,5.042110670980231,5.701939177054307,4.5873009097602235,5.3342293967016525,6.202441547692928,2.8259259259259295,2.6364893358287365,3.962962962962962
27,280,4.943962770240746,5.42563628341933,4.53234937162064,5.260471597963541,5.885714285714279,3.357142857142854,2.5769172144160652,3.7142857142857224
28,290,4.684837570638916,5.20494177171787,4.206867375903158,4.527103378446491,5.2827586206896555,2.351724137931029,2.368542394623707,3.0827586206896456
29,300,4.891481505130968,5.404973657738161,4.500000000000007,4.475295921305429,5.217812644208571,2.0133333333333354,2.5499196738529166,3.0200000000000102
30,310,4.774911681481944,5.301238493728128,4.391294776662569,4.580434154386261,5.364448621387993,2.677419354838708,2.4653893157354294,3.1612903225806406
31,320,4.779986422206986,5.258998714413032,4.394430413854572,4.513103732197842,5.161498091603036,3.3125,2.46565831026026,2.8562499999999886
32,330,4.628562638648633,5.093501892928941,4.227029671155805,4.51413789375231,5.083970499698964,2.969696969696969,2.347867497703121,2.8545454545454447
33,340,4.5835404302155816,4.959051956766018,4.233973213026609,4.407824579167199,4.958823529411767,3.176470588235304,2.3173389833010014,2.7294117647058727
34,350,4.786940101829222,5.250499560283686,4.356374626838544,4.716623366824485,5.49257008297824,2.9028571428571297,2.4902537348283866,3.2285714285714278
35,360,4.850983993992247,5.314487658026067,4.354581218257387,5.284078111944497,5.994388327721666,3.1944444444444464,2.495138541110341,3.8055555555555713
36,370,4.696730203435849,5.065435678093934,4.361821059846385,4.828270090634658,5.500386680334117,3.0540540540540526,2.426263429095953,3.243243243243228
37,380,5.0226935438222835,5.426479381688516,4.59978624755805,4.712206229024296,5.279964857796642,3.647368421052633,2.7054688165868237,3.042105263157879
38,390,4.8554990786316585,5.251073955691467,4.4808027085078095,4.425570833662354,5.057433597792333,2.7179487179487154,2.5595480352174675,2.923076923076934
39,400,5.001907248605827,5.454017703669855,4.517102837804494,5.066194734026733,5.774999999999999,3.2299999999999898,2.6714868989236686,3.6500000000000057
40,410,4.84334949326634,5.421103146367322,4.469909291500102,4.750616597168677,5.312195121951206,3.6487804878048777,2.55130258715478,3.0439024390243787
41,420,4.835696255156891,5.2646513697158,4.404761904761905,4.564996007391079,5.245618660351234,2.7904761904761983,2.554871170239614,3.095238095238102
42,430,4.818843426089593,5.196502912487745,4.470704646753973,4.601066148661292,5.173677814586057,3.0116279069767415,2.5435377933684653,3.0325581395348706
43,440,4.703359659003519,5.102965040865072,4.360968532943538,4.5565736080978105,5.306426383560826,2.8295454545454675,2.4345284702361827,3.0045454545454504
44,450,4.793155210851812,5.154021263745136,4.39514974560997,4.345020189586745,4.962511268512557,2.697777777777773,2.533184836908121,2.8000000000000114
45,460,5.007596485442364,5.532784629069276,4.625764968289012,5.2529959227337715,5.912947921643571,3.1782608695652073,2.6768742651299684,3.7608695652173765
46,470,4.887179782545228,5.249298039092935,4.540947499459328,4.579477988495284,5.2127659574468055,3.0851063829787257,2.615020925511695,3.042553191489361
47,480,4.97076691987022,5.37061256411716,4.564144589745048,5.19499192380496,5.825590796019899,3.479166666666668,2.6668917210161154,3.645833333333343
48,490,6.029789675413721,7.816326520105747,4.2040816337693805,5.705131609715442,6.362482884527623,4.204081632653061,2.567727301003715,4.040816326530603
49,500,5.018622274765979,5.46298120675462,4.441466613513953,5.401129404228041,5.976114285714285,4.02,2.6478488546508605,3.859999999999985
50,510,5.110561734108185,5.560396377164707,4.747002878352674,4.890071767679994,5.515873485072419,3.4823529411764866,2.8101066933711056,3.294117647058812
51,520,4.768220354403894,5.214067492670161,4.381772535577248,4.739432300191988,5.155741067443202,3.765384615384619,2.5085609325415255,3.0
52,530,4.818261435784955,5.179482846867934,4.459321148445895,4.957723117012169,5.565490515782834,3.5075471698113176,2.5621444015154906,3.3962264150943327
53,540,4.916836958644341,5.25973737496075,4.578584174778335,4.699582732676261,5.244724449535443,3.4425925925925753,2.6497710580394345,3.092592592592581
54,550,5.205563680703378,5.850886871134769,4.497068327659072,5.5008217448850925,6.128058181818172,3.8236363636363677,2.629320188273839,3.9636363636363683
