,N,obj_robust_mean,obj_robust_max,obj_robust_min,obj_nonrobust_mean,obj_nonrobust_max,obj_nonrobust_min,robust_obj,nonrobust_obj
0,10,3.4319136702465785,3.5989288246551823,1.7470425697709544,2.3645402342933433,6.974907527741685,-10.299999999999997,0.7882259286478356,4.199999999999989
1,20,4.966162908892701,6.700001312820298,0.5304900924247704,3.363454166527242,6.83235294117647,-4.0,1.1999998571070483,4.300000000000011
2,30,6.209472319933364,8.627270213893276,3.654076632816036,4.826793770157763,7.748275862068986,-1.5999999999999943,2.300249000501224,5.066666666666663
3,40,5.6075540587343475,7.038143976183456,3.2710906562976234,4.38504055077946,6.949999999999989,-5.875,2.1810479482221727,4.400000000000006
4,50,4.801400001315903,6.399999986922772,3.999999999182677,3.8043973981917083,5.799999999999997,-0.9999999999999964,1.9999999967251765,3.1999999999999886
5,60,6.062799950533915,7.284869068856146,3.829902232928056,5.705204864341083,7.952170542635685,1.25,3.149553626025872,5.133333333333326
6,70,5.02289646697634,5.918809399397766,4.2045236851120436,4.230364612416162,5.539412360688942,-0.4285714285714306,2.2420072838939427,3.142857142857139
7,80,4.387125677733746,5.3749991639268515,3.9999991639268444,4.857033454210873,6.399999999999999,0.375,1.9999993942503187,3.75
8,90,4.811314002267636,5.730955020334832,4.064288353668161,4.015765903018103,5.311111111111117,0.09999999999999432,2.178955809040612,3.1111111111111143
9,100,4.621756251230353,5.283801301926587,4.03239739614682,4.260242577949158,5.4199999999999875,0.8000000000000043,2.086229213101162,3.0
10,110,5.462444897576039,6.419104373549999,4.454696395969734,5.870692044162067,7.357994614694206,2.5454545454545467,2.613815202295161,5.0909090909090935
11,120,4.502002725780463,5.221950891734842,4.036584819558058,4.16236073645817,4.923529411764701,2.2333333333333343,2.02569091067405,2.6500000000000057
12,130,5.383139239087533,6.213846162255372,4.597347477206377,5.371061689859082,6.447949233864733,2.9692307692307622,2.7381764838187417,3.9692307692307622
13,140,5.046243463398941,5.84528358812657,4.367451162814135,4.413062094811313,5.71897031539887,1.471428571428575,2.482499888210805,3.242857142857133
14,150,4.884150741947586,5.59885630450767,4.238585393306238,5.455619269881403,6.4700084961767175,3.066666666666663,2.363875423702594,4.199999999999989
15,160,5.12782914340672,5.794712633125556,4.402169482190558,4.673507605232283,5.840436170212769,1.3125,2.602518494491203,3.5
16,170,5.474352687030874,6.2502297486219405,4.708774126655719,5.712679521563124,6.891950464396295,2.641176470588235,2.8643169707892917,4.588235294117652
17,180,4.976616369195211,5.683021112967282,4.382349470457527,4.6165043132087495,5.640831420555983,1.5722222222222229,2.47351344426028,3.3000000000000114
18,190,4.89383452425866,5.517086101068159,4.353642373664798,4.6760472193746,5.476729012614186,2.0,2.4361492249982963,3.2105263157894797
19,200,4.700210807826387,5.269130753847961,4.182417644276704,4.6713963675856975,5.5,2.349999999999998,2.304412419960795,3.200000000000017
20,210,5.0278549454808825,5.538133558339631,4.307910961106913,5.019308802481279,5.786522911051215,2.095238095238095,2.587642178699417,3.5238095238095184
21,220,4.8326769841013615,5.484750265946104,4.212174530953945,5.188350884592439,6.018181818181816,2.772727272727277,2.3985782750727678,3.7727272727272805
22,230,4.780174687454311,5.351816768015226,4.16667993405936,4.744581274535256,5.617391304347777,2.486956521739117,2.3489108080201055,3.356521739130443
23,240,4.905263950710476,5.597589966008499,4.440784081579594,4.961210778073013,5.805833333333325,2.575000000000003,2.462909027985522,3.3666666666666742
24,250,4.718122914237897,5.352812532740913,4.278520227329011,4.606794754596408,5.377560975609757,2.1640000000000015,2.319481433548363,3.1999999999999886
